,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CNNM11,0,0.37014088,0.908,0.469,0,4,CNNM1
LATS23,0,0.799958771,0.925,0.486,0,4,LATS2
ANKRD264,0,0.810686448,0.785,0.355,0,4,ANKRD26
VWC2L4,0,1.456904381,0.949,0.533,0,4,VWC2L
F102,0,0.91352264,0.984,0.59,0,4,F10
TRIM542,0,0.703661932,0.924,0.537,0,4,TRIM54
LINC005292,0,2.859884342,0.436,0.052,0,4,LINC00529
SCCPDH3,0,0.79571064,0.56,0.177,0,4,SCCPDH
NR2F1-AS11,0,0.575263026,0.561,0.185,0,4,NR2F1-AS1
IMPACT1,0,0.706909752,0.929,0.562,0,4,IMPACT
TBC1D92,0,3.414807247,0.39,0.069,0,4,TBC1D9
CCDC472,0,1.029200665,0.41,0.117,0,4,CCDC47
CARNMT11,0,4.513329501,0.303,0.019,0,4,CARNMT1
MED16,0,2.72885754,0.303,0.037,0,4,MED16
NCEH14,0,1.319173046,0.381,0.115,0,4,NCEH1
TPO3,0,2.410256001,0.345,0.081,0,4,TPO
ATF7IP21,0,1.342889408,0.369,0.106,0,4,ATF7IP2
USO12,0,2.527661497,0.3,0.065,0,4,USO1
LSM8,0,2.069654111,0.271,0.068,0,4,LSM8
GSS1,0,1.80629833,0.163,0.026,0,4,GSS
DAGLB1,0,2.845162208,0.144,0.017,0,4,DAGLB
ARPC5L1,0,4.033517289,0.103,0.007,0,4,ARPC5L
SPATA451,0,3.693267632,0.088,0.005,0,4,SPATA45
PDE6G,0,4.240364035,0.058,0.002,0,4,PDE6G
KLK101,1.18E-306,2.39373076,0.136,0.019,2.47E-302,4,KLK10
SEPTIN9,5.67E-303,0.817689139,0.762,0.37,1.19E-298,4,SEPTIN9
ARHGAP51,5.55E-294,1.528147364,0.251,0.061,1.16E-289,4,ARHGAP5
LRRK2,1.28E-273,0.999372418,0.419,0.145,2.69E-269,4,LRRK2
BLVRA,1.05E-271,2.83611714,0.064,0.004,2.21E-267,4,BLVRA
KCNB13,3.18E-263,0.71876486,0.698,0.327,6.67E-259,4,KCNB1
SOD1,8.50E-246,0.459208885,0.712,0.311,1.78E-241,4,SOD1
HMG20B1,1.97E-241,0.317621651,0.972,0.608,4.13E-237,4,HMG20B
SMAGP,2.43E-236,0.479493539,0.476,0.185,5.09E-232,4,SMAGP
EMC43,1.06E-232,1.353558915,0.224,0.059,2.21E-228,4,EMC4
LINC004742,3.33E-231,0.670392961,0.939,0.622,6.98E-227,4,LINC00474
